object_id,global_id,row_id,parent_row_id,camp_name,num_employee,employ_others,yes_employ_others,avg_customers,business_type,market_condition,market_security,materials_buy,materials_buy_refined_cxc9401,materials_buy_refined_newNames,materials_buy_x,materials_buy_y,market_depth,market_depth_other,cash_food_local,no_travel_needs,outside_job,outside_job_yes_where,outside_job_yes_where_x,outside_job_yes_where_y,outside_job_yes_what,outside_job_yes_what_other,paid_locals_same,competition,income_compare,business_start,sell_food_assistance,sell_food_assistance_yes,customer_locations,customer_locations_camp,customer_locations_camp_change,customer_locations_camp_change_why,entrepreneurship_training,training_grow,training_grow_other,finances_care,finances_care_other,business_leave_camp,business_leave_camp_when,business_five_years,leave_camp_support_business,id_problem_fequency,informal_banking_services,key_good_demand_change,Business_Final_21_Feb_creation_date,Business_Final_21_Feb_creator,Business_Final_21_Feb_edit_date,Business_Final_21_Feb_editor,x,y,ObjectID,GlobalID,household_money_supply,household_money_supply_other,household_money_supply_other_traders,goods_repeat_final_21_Feb_creation_date,goods_repeat_final_21_Feb_creator,goods_repeat_final_21_Feb_edit_date,goods_repeat_final_21_Feb_editor
4,e35c6078-594f-463a-b77b-1cb40fe2cfc2,08aeaeec-01f0-4678-adca-26d7c4ea3afe,08aeaeec-01f0-4678-adca-26d7c4ea3afe,mugombwa,2,noemploy,,40,"general,clothing",poor,good,muhanga kigali,"Muhanga,Kigali","Muhanga,Kigali","29.75,30.059444","-2.083333,-1.943889",formal,,yes,,no,,,,,,,five,remain,3/31/2014,no,,aroundcamp,quarter 1,no,,no,financing,,other,sacco,no,Never,more products,daily,monthly,saco,yes,1/12/2017,bmtski@rit.edu_RITArcGIS,1/12/2017,bmtski@rit.edu_RITArcGIS,29.85486,-2.69662,4,235feb4d-4d77-4017-92af-1494154c6eab,beans,,for few/not enough money,1/12/2017,bmtski@rit.edu_RITArcGIS,1/12/2017,bmtski@rit.edu_RITArcGIS
5,0b3b35ca-6753-47e8-9209-77872f864a95,6acf3b19-183f-4cfa-adee-7d2c41281457,6acf3b19-183f-4cfa-adee-7d2c41281457,mugombwa,2,yesfamily,2,50,general,poor,good,butare/huye,Huye,Huye,29.75,-2.6,house,,no,"depends on capital, 5million rwf 》 kigali, bus to huye",no,,,,,,,two,increased,########,yes,50,aroundcamp,whole camp,no,,no,financing,,"mobilemoney,other",tigo cash,yes,,more products,daily,daily,mobile,yes,1/12/2017,bmtski@rit.edu_RITArcGIS,1/12/2017,bmtski@rit.edu_RITArcGIS,29.85486,-2.69662,5,03156175-783a-4731-8334-e81ff5d29b83,airtime,,airtime helps to call,1/12/2017,bmtski@rit.edu_RITArcGIS,1/12/2017,bmtski@rit.edu_RITArcGIS
6,332a5fe5-85c1-48a0-9791-f25d2919ed62,b2f6fff3-84c6-4cc4-bd63-13b76680d97a,b2f6fff3-84c6-4cc4-bd63-13b76680d97a,mugombwa,1,noemploy,,30,restaurant,poor,good,locally,Locally,InTheCamp,29.85486,-2.69662,house,,yes,,no,,,,,,,four,increased,8/19/2016,no,,aroundcamp,whole of the camp,yes,not enough capital,no,training,,other,cooperatives,no,,more products,daily,weekly,mobile,yes,1/13/2017,bmtski@rit.edu_RITArcGIS,1/13/2017,bmtski@rit.edu_RITArcGIS,29.85486,-2.69662,6,f30879b0-fe54-4952-b14e-4558eac11b9d,firewood,,not enough capital,1/13/2017,bmtski@rit.edu_RITArcGIS,1/13/2017,bmtski@rit.edu_RITArcGIS
7,728b75f3-4098-44fa-ab18-02e2cc476557,bae05ea7-a8cc-409c-8999-db53d531d6ea,bae05ea7-a8cc-409c-8999-db53d531d6ea,mugombwa,1,noemploy,,100,business,poor,good,kigali,Kigali,Kigali,30.059444,-1.943889,house,,yes,,no,,,,,,,two,increased,1/12/2017,no,,aroundcamp,whole of the camp,yes,more customers,no,financing,,other,at the bank,no,,more products,daily,monthly,"saco,mobile",yes,1/13/2017,bmtski@rit.edu_RITArcGIS,1/13/2017,bmtski@rit.edu_RITArcGIS,29.74182,-2.60171,7,18d09815-216b-419c-9b9a-867b73a00a93,other,never,,1/13/2017,bmtski@rit.edu_RITArcGIS,1/13/2017,bmtski@rit.edu_RITArcGIS
8,3ab1529a-b3df-468e-b548-72bb89a9cb3f,48b14163-8113-4782-a191-f23c55840211,48b14163-8113-4782-a191-f23c55840211,mugombwa,1,yesfamily,2,4,craft,poor,good,butare and kigali,"Huye,Kigali","Huye,Kigali","29.75,30.059444","-2.6,-1.943889",house,,yes,,no,,,,,,,two,unsure,1/12/2017,no,,aroundcamp,whole of the camp,yes,few of money,yes,financing,,mobilemoney,,no,,more knowledge and income,daily,monthly,saco,yes,1/13/2017,bmtski@rit.edu_RITArcGIS,1/13/2017,bmtski@rit.edu_RITArcGIS,29.85486,-2.69662,8,2d8bbcd4-ffb8-455b-a0f3-65c981ce4fd4,other,never,,1/13/2017,bmtski@rit.edu_RITArcGIS,1/13/2017,bmtski@rit.edu_RITArcGIS
9,2d3d6355-b9ab-46f4-bb0a-550269a99143,00a13581-d3dd-4469-8e41-49c89c55bf5b,00a13581-d3dd-4469-8e41-49c89c55bf5b,mugombwa,2,noemploy,,80,other,poor,good,butare (huye) town,Huye,Huye,29.75,-2.6,house,,yes,,no,,,,,,,five,increased,########,no,,aroundcamp,whole the camp,yes,unsafficience of materials,no,training,,other,sacco,no,,more income,daily,monthly,saco,yes,1/13/2017,bmtski@rit.edu_RITArcGIS,1/13/2017,bmtski@rit.edu_RITArcGIS,29.85486,-2.69662,9,93e40f18-c997-42e9-9d47-970171ad08e3,other,it is salon,not enough capital,1/13/2017,bmtski@rit.edu_RITArcGIS,1/13/2017,bmtski@rit.edu_RITArcGIS
10,506d8a7f-cdea-4b4e-951e-b5db67b7cc12,b999b532-c6ee-4ad6-9588-a3a15b809700,b999b532-c6ee-4ad6-9588-a3a15b809700,mugombwa,1,yeshost,1,5,general,poor,good,kigali,Kigali,Kigali,30.059444,-1.943889,daily,,no,kigali,no,,,,,,,zero,remain,########,no,,aroundcamp,whole the camp,yes,more customers,no,financing,,other,population bank,yes,,more products,daily,daily,saco,yes,1/13/2017,bmtski@rit.edu_RITArcGIS,1/13/2017,bmtski@rit.edu_RITArcGIS,29.85486,-2.69662,10,476b6a65-7ee0-4942-a9fc-c5f213024102,beans,,unsafficience of capital,1/13/2017,bmtski@rit.edu_RITArcGIS,1/13/2017,bmtski@rit.edu_RITArcGIS
11,bef5c418-e2ac-42e7-be50-e39bb4c06a73,7945f20e-aca3-4fcb-b96e-4b18a8fcd798,7945f20e-aca3-4fcb-b96e-4b18a8fcd798,mugombwa,1,noemploy,,20,general,poor,good,huye town,Huye,Huye,29.75,-2.6,house,,yes,,no,,,,,,,four,increased,4/1/2014,yes,3,aroundcamp,in the camp,yes,more customers,no,financing,,other,sacco(saving and credit cooperatives),no,,more products,daily,monthly,saco,yes,1/13/2017,bmtski@rit.edu_RITArcGIS,1/13/2017,bmtski@rit.edu_RITArcGIS,29.85486,-2.69662,11,6df08834-ef31-4f9c-8b23-fcb31648bdb9,firewood,,insufficient capital,1/13/2017,bmtski@rit.edu_RITArcGIS,1/13/2017,bmtski@rit.edu_RITArcGIS
12,3624d6e7-265f-422e-8e22-5133fa175350,9c7d258c-fa65-4723-ba60-0a76c7d70334,9c7d258c-fa65-4723-ba60-0a76c7d70334,mugombwa,5,yesother,4,60,"restaurant,other",good,good,Huye,Huye,Huye,29.75,-2.6,house,,yes,,yes,Bisha,29.8592,-2.6629,other,Sells more.,less,one,increased,4/19/2016,no,,aroundcamp,In this camp,yes,More customers,no,financing,,remittances,,yes,,More product,daily,frequent,saco,yes,1/13/2017,cxc9401@rit.edu_RITArcGIS,1/13/2017,cxc9401@rit.edu_RITArcGIS,29.84931,-2.6758,12,9c20e647-3c8e-4292-a42c-e305601110a7,airtime,,Because he is an old man.,1/13/2017,cxc9401@rit.edu_RITArcGIS,1/13/2017,cxc9401@rit.edu_RITArcGIS
13,b84998cf-8b95-405f-aa34-6b998b0a62e7,1f3e4568-cbca-41f9-868b-70a16bcdc6fc,1f3e4568-cbca-41f9-868b-70a16bcdc6fc,mugombwa,4,yesother,3,20,"clothing,other",good,good,Huye Town,Huye,Huye,29.75,-2.6,house,,yes,,no,,,,,,,zero,increased,9/24/2016,no,,aroundcamp,In the camp.,yes,Get more customers.,yes,training,,mobilemoney,,yes,,Get more products and materials.,weekly,frequent,mobile,yes,1/13/2017,cxc9401@rit.edu_RITArcGIS,1/13/2017,cxc9401@rit.edu_RITArcGIS,29.85121,-2.67453,13,b50a0c3d-e5db-4270-8113-e64b6639c7cf,firewood,,Because the have more firewood than demand. And because they get it for free.,1/13/2017,cxc9401@rit.edu_RITArcGIS,1/13/2017,cxc9401@rit.edu_RITArcGIS
