object_id,camp_name,num_employee,employ_others,yes_employ_others,avg_customers,business_type,market_condition,market_security,materials_buy,materials_buy_refined_cxc9401,market_depth,cash_food_local,no_travel_needs,outside_job,competition,income_compare,business_start,sell_food_assistance,sell_food_assistance_yes,customer_locations,customer_locations_camp,customer_locations_camp_change,customer_locations_camp_change_why,entrepreneurship_training,training_grow,training_grow_other,finances_care,finances_care_other,business_leave_camp,business_five_years,leave_camp_support_business,id_problem_fequency,informal_banking_services,key_good_demand_change,x,y,household_money_supply,household_money_supply_other,household_money_supply_other_traders
4,mugombwa,2,noemploy,,40,general/clothing,poor,good,muhanga kigali,Muhanga/Kigali,formal,yes,,no,five,remain,3/31/2014,no,,aroundcamp,quarter 1,no,,no,financing,,other,sacco,no,more products,daily,monthly,saco,yes,29.85486,-2.69662,beans,,for few/not enough money
5,mugombwa,2,yesfamily,2,50,general,poor,good,butare/huye,Huye,house,no,depends on capital/ 5million rwf 》 kigali/ bus to huye,no,two,increased,########,yes,50,aroundcamp,whole camp,no,,no,financing,,mobilemoney/other,tigo cash,yes,more products,daily,daily,mobile,yes,29.85486,-2.69662,airtime,,airtime helps to call
6,mugombwa,1,noemploy,,30,restaurant,poor,good,locally,Locally,house,yes,,no,four,increased,8/19/2016,no,,aroundcamp,whole of the camp,yes,not enough capital,no,training,,other,cooperatives,no,more products,daily,weekly,mobile,yes,29.85486,-2.69662,firewood,,not enough capital
7,mugombwa,1,noemploy,,100,business,poor,good,kigali,Kigali,house,yes,,no,two,increased,1/12/2017,no,,aroundcamp,whole of the camp,yes,more customers,no,financing,,other,at the bank,no,more products,daily,monthly,saco/mobile,yes,29.74182,-2.60171,other,never,
8,mugombwa,1,yesfamily,2,4,craft,poor,good,butare and kigali,Huye/Kigali,house,yes,,no,two,unsure,1/12/2017,no,,aroundcamp,whole of the camp,yes,few of money,yes,financing,,mobilemoney,,no,more knowledge and income,daily,monthly,saco,yes,29.85486,-2.69662,other,never,
9,mugombwa,2,noemploy,,80,other,poor,good,butare (huye) town,Huye,house,yes,,no,five,increased,########,no,,aroundcamp,whole the camp,yes,unsafficience of materials,no,training,,other,sacco,no,more income,daily,monthly,saco,yes,29.85486,-2.69662,other,it is salon,not enough capital
10,mugombwa,1,yeshost,1,5,general,poor,good,kigali,Kigali,daily,no,kigali,no,zero,remain,########,no,,aroundcamp,whole the camp,yes,more customers,no,financing,,other,population bank,yes,more products,daily,daily,saco,yes,29.85486,-2.69662,beans,,unsafficience of capital
11,mugombwa,1,noemploy,,20,general,poor,good,huye town,Huye,house,yes,,no,four,increased,4/1/2014,yes,3,aroundcamp,in the camp,yes,more customers,no,financing,,other,sacco(saving and credit cooperatives),no,more products,daily,monthly,saco,yes,29.85486,-2.69662,firewood,,insufficient capital
12,mugombwa,5,yesother,4,60,restaurant/other,good,good,Huye,Huye,house,yes,,yes,one,increased,4/19/2016,no,,aroundcamp,In this camp,yes,More customers,no,financing,,remittances,,yes,More product,daily,frequent,saco,yes,29.84931,-2.6758,airtime,,Because he is an old man.
13,mugombwa,4,yesother,3,20,clothing/other,good,good,Huye Town,Huye,house,yes,,no,zero,increased,9/24/2016,no,,aroundcamp,In the camp.,yes,Get more customers.,yes,training,,mobilemoney,,yes,Get more products and materials.,weekly,frequent,mobile,yes,29.85121,-2.67453,firewood,,Because the have more firewood than demand. And because they get it for free.
14,mugombwa,1,noemploy,,1,clothing/other,good,good,Kigali,Kigali,house/daily,no,Out of the camp,yes,five,increased,8/19/2015,no,,districtonly,,yes,He gained more money and more customers.,no,financing,,other,He immediately spends all his money on other materials.,yes,It will be good,weekly,frequent,nobank,yes,29.85115,-2.67471,firewood,,Because every month are given firewood.
15,mugombwa,1,noemploy,,10,grocery,good,good,Out of camp.,outofcamp,house,yes,,yes,five,notapplicable,1/4/2017,no,,aroundcamp,This camp,no,,no,financing,,underbed,,yes,More products.,daily,frequent,nobank,yes,29.85128,-2.67487,firewood,,In this camp/ they taje firewood. You cant make a business from firewood because you can take it for free.
16,mugombwa,14,yesother,14,30,grocery,good,good,Out of camp,outofcamp,daily,yes,,yes,five,increased,3/14/2015,yes,3,aroundcamp,In the camp,yes,More products.,no,financing,,mobilemoney,,yes,The business will grow.,daily,frequent,mobile,yes,29.84976,-2.67497,firewood,,Insufficient capital.
17,mugombwa,1,noemploy,,5,grocery/clothing,good,good,Huye town,Huye,daily/house,no,Another Sector,no,five,increased,########,yes,10,aroundcamp,This Camp,yes,More products have increased.,no,financing,,underbed,,no,Be more productive.,daily,monthly,nobank,yes,29.84966,-2.67501,firewood,,Can't find the market for it.
18,mugombwa,25,yesother,1,5,general,poor,good,Mushya center or kabuga,MushyaCenter/Kabuga,house,yes,,no,four,increased,7/29/2016,yes,1,aroundcamp,Oil,yes,More customers,no,financing,,mobilemoney,,yes,To receiving many money,daily,monthly,mobile,no,29.84989,-2.6738,firewood,,Insufficiency capitals
19,mugombwa,40,yesother,1,30,general,poor,good,Butare town,Huye,house,yes,,no,three,increased,1/9/2015,no,,aroundcamp,Products,yes,More customers,no,financing,,underbed,,yes,Grow of products,daily,monthly,nobank,no,29.85061,-2.6735,firewood,,Insufficient capital
20,mugombwa,2,yesother,1,20,general,poor,good,Bishya center,BishyaCenter,house,yes,,no,three,decrease,1/18/2017,yes,1,districtonly,,yes,Want to increaseing the products,no,financing,,underbed,,yes,Increasing the products,daily,monthly,nobank,no,29.85009,-2.67406,firewood,,
21,mugombwa,2,yesother,2,65,cell,poor,good,Butare town,Huye,house,yes,,no,four,increased,1/19/2017,yes,1,aroundcamp,To buy fire,yes,Increasing of customer s,no,financing,,mobilemoney,,yes,Grow of products,daily,monthly,mobile,yes,29.85135,-2.67489,firewood,,Insufficient capital
22,mugombwa,6,yesother,6,60,business,poor,good,In kabuga,Kabuga,house,yes,,no,two,increased,1/19/2017,no,,districtonly,,yes,Increasing of product,no,financing,,other,Saco,yes,Grow of product,daily,monthly,saco,yes,29.85056,-2.67475,firewood,,Insufficient capital
23,mugombwa,1,noemploy,,10,restaurant,poor,good,In huye town,Huye,house,yes,,no,three,increased,12/2/2016,yes,2,districtonly,,no,,yes,financing,,mobilemoney,,yes,Increasing of product,daily,monthly,mobile,yes,29.84972,-2.67491,phones,,Insuficient capital
24,kigeme,1,noemploy,,5,grocery,good,good,Kigeme Town,KigemeTown,house,yes,,no,three,increased,4/14/2014,,,aroundcamp,All around,no,,no,training,,underbed,,yes,To have development,daily,weekly,nobank,no,29.52258,-2.48666,,,
25,kigeme,4,yesother,3,30,clothing/other,good,good,Nyamagabe,Nyamagabe,nosell,yes,,no,five,decrease,########,,,aroundcamp,Around the business,yes,Change to cash.,yes,financing,,mobilemoney,,yes,To look for a new job.,weekly,monthly,mobile,yes,29.52466,-2.48839,,,
26,kigeme,12,yesfamily,11,30,general,good,good,Nyamagabe and Gasarenda,Nyamagabe/Gasarenda,house,yes,,no,two,increased,3/6/2013,,,aroundcamp,Around the business.,yes,Because of opportunity.,no,training,,mobilemoney,,yes,To have a development.,daily,daily,mobile,yes,29.52461,-2.48841,,,
27,kigeme,2,yesfamily,1,60,clothing/grocery/general,good,good,Gasarenda,Gasarenda,house,yes,,no,three,decrease,8/19/2013,,,aroundcamp,Around the business,no,,no,financing,,underbed,,no,Stronger business.,daily,monthly,nobank,yes,29.52454,-2.48828,,,
28,kigeme,1,noemploy,,35,other/restaurant,good,good,Kigeme Town (Out of camp),KigemeTown,house,yes,,no,two,increased,5/9/2016,,,aroundcamp,Around the business.,yes,They ask also. Others ask. Word of mouth.,no,training,,mobilemoney,,no,Make it strong. Stronger business.,daily,monthly,mobile,yes,29.52455,-2.48824,,,
29,kigeme,2,yesfamily,1,100,grocery/general,good,damaged,Gasarenda,Gasarenda,house,yes,,no,five,decrease,7/26/2014,,,aroundcamp,Around the business,yes,Currency change. Change to cash.,yes,financing,,remittances,,yes,Make business strong.,weekly,daily,saco,yes,29.52477,-2.48808,,,
30,kigeme,2,yesfamily,1,50,general,good,good,Nyamagabe and Gasarenda,Nyamagabe/Gasarenda,house,yes,,no,three,increased,1/24/2016,,,aroundcamp,Around the business,yes,Currents. Note. Currency.,no,financing,,remittances,,yes,To get out of the camp. Leave the compound.,weekly,monthly,saco,yes,29.52423,-2.48834,,,
31,kigeme,1,noemploy,,40,grocery,good,good,Gasarenda,Gasarenda,house,yes,,no,two,increased,########,,,aroundcamp,Aroind the business,yes,Currents,yes,training,,remittances,,yes,Make the business strong.,weekly,monthly,saco,yes,29.52368,-2.48657,,,
32,kigeme,1,noemploy,,30,grocery,poor,good,Gasarenda,Gasarenda,house,yes,,no,two,increased,1/5/2017,,,aroundcamp,Around here,no,,yes,other,Nothing. She did it for herself.,remittances,,yes,To have enough money.,weekly,monthly,nobank,yes,29.52338,-2.4857,,,
33,kigeme,1,noemploy,,25,grocery,damaged,good,Kizi and Karambi,Kizi/Karambi,house,yes,,no,zero,decrease,########,,,aroundcamp,The neighbors,yes,Currents,no,other,Began her own training,underbed,,yes,Very important because she didnt beg. She didnt beg. She fought to survive.,frequent,monthly,nobank,yes,29.5232,-2.48497,,,
34,kigeme,2,yesfamily,2,30,general/grocery,good,good,Gasarenda and nyamagabe,Nyamagabe/Gasarenda,house,yes,,no,five,increased,1/16/2016,,,aroundcamp,everywhere,yes,Started making profit,yes,financing/training,,mobilemoney,,yes,Would like to expand business/ if funds are available,weekly,frequent,saco/mobile,yes,29.52234,-2.48898,,,Suppliers lack funds to supply goods
35,kigeme,12,yesother,12,30,general/grocery,good,good,Gasarenda or nyamagabe,Nyamagabe/Gasarenda,house,yes,,no,five,increased,########,,,aroundcamp,Everywhere,no,,yes,financing/training,,other,Commercial bank,yes,If they find funds/ their business will grow,weekly,frequent,saco,no,29.52442,-2.48847,,,Suppliers lack funds to purchase goods
36,kigeme,1,yesfamily,3,40,general/grocery,good,good,Nyamagabe or gasarenda,Nyamagabe/Gasarenda,house,yes,,no,five,increased,5/13/2012,,,aroundcamp,Everywhere,yes,Have more money for food,no,training/financing,,other,Buy more products for sale,yes,With more funds/ buy more prodcuts for sale,weekly,frequent,nobank,yes,29.52437,-2.48846,,,Not enough money for suppliers to buy goods
37,kigeme,2,yesother,2,15,grocery,good,good,Butare,Huye,house,yes,,no,five,decrease,1/16/2017,,,aroundcamp,Everywhere,yes,Not enough credit to buy corn and,yes,training,,other,Buy maize with profits/ and store. Also bank account,yes,With enough money/ will earn enough credit to buy produce required,monthly,frequent,commbank,yes,29.52561,-2.48676,,,Because they dont have enough money to purchase produce
