object_id,camp_name,num_employee,employ_others,yes_employ_others,avg_customers,business_type,business_type_clothing,business_type_grocery,business_type_restaurant,business_type_craft,market_condition,market_security,market_depth,cash_food_local,outside_job,competition,income_compare,business_start,sell_food_assistance,sell_food_assistance_yes,customer_locations,customer_locations_camp_change,entrepreneurship_training,training_grow,training_grow_financing,training_grow_training,finances_care,finances_care_underbed,finances_care_remmitances,finances_care_mobile,finances_care_other_text,finances_care_other,business_leave_camp,leave_camp_support_business,id_problem_fequency,ibs,ibs_comm,ibs_saco,ibs_mobile,ibs_microloan,ibs_nobank,key_good_demand_change,x,y,household_money_supply
4,mugombwa,2,noemploy,,40,general/clothing,TRUE,FALSE,FALSE,FALSE,poor,good,formal,yes,no,five,remain,3/31/2014,no,,aroundcamp,no,no,financing,TRUE,FALSE,other,FALSE,FALSE,FALSE,TRUE,sacco,no,daily,monthly,saco,FALSE,TRUE,FALSE,FALSE,FALSE,yes,29.85486,-2.69662,beans
5,mugombwa,2,yesfamily,2,50,general,FALSE,FALSE,FALSE,FALSE,poor,good,house,no,no,two,increased,########,yes,50,aroundcamp,no,no,financing,TRUE,FALSE,mobilemoney/other,FALSE,FALSE,TRUE,TRUE,tigo cash,yes,daily,daily,mobile,FALSE,FALSE,TRUE,FALSE,FALSE,yes,29.85486,-2.69662,airtime
6,mugombwa,1,noemploy,,30,restaurant,FALSE,FALSE,TRUE,FALSE,poor,good,house,yes,no,four,increased,8/19/2016,no,,aroundcamp,yes,no,training,FALSE,TRUE,other,FALSE,FALSE,FALSE,TRUE,cooperatives,no,daily,weekly,mobile,FALSE,FALSE,TRUE,FALSE,FALSE,yes,29.85486,-2.69662,firewood
7,mugombwa,1,noemploy,,100,business,FALSE,FALSE,FALSE,FALSE,poor,good,house,yes,no,two,increased,1/12/2017,no,,aroundcamp,yes,no,financing,TRUE,FALSE,other,FALSE,FALSE,FALSE,TRUE,at the bank,no,daily,monthly,saco/mobile,FALSE,TRUE,TRUE,FALSE,FALSE,yes,29.74182,-2.60171,other
8,mugombwa,1,yesfamily,2,4,craft,FALSE,FALSE,FALSE,TRUE,poor,good,house,yes,no,two,unsure,1/12/2017,no,,aroundcamp,yes,yes,financing,TRUE,FALSE,mobilemoney,FALSE,FALSE,TRUE,FALSE,,no,daily,monthly,saco,FALSE,TRUE,FALSE,FALSE,FALSE,yes,29.85486,-2.69662,other
9,mugombwa,2,noemploy,,80,other,FALSE,FALSE,FALSE,FALSE,poor,good,house,yes,no,five,increased,########,no,,aroundcamp,yes,no,training,FALSE,TRUE,other,FALSE,FALSE,FALSE,TRUE,sacco,no,daily,monthly,saco,FALSE,TRUE,FALSE,FALSE,FALSE,yes,29.85486,-2.69662,other
10,mugombwa,1,yeshost,1,5,general,FALSE,FALSE,FALSE,FALSE,poor,good,daily,no,no,zero,remain,########,no,,aroundcamp,yes,no,financing,TRUE,FALSE,other,FALSE,FALSE,FALSE,TRUE,population bank,yes,daily,daily,saco,FALSE,TRUE,FALSE,FALSE,FALSE,yes,29.85486,-2.69662,beans
11,mugombwa,1,noemploy,,20,general,FALSE,FALSE,FALSE,FALSE,poor,good,house,yes,no,four,increased,4/1/2014,yes,3,aroundcamp,yes,no,financing,TRUE,FALSE,other,FALSE,FALSE,FALSE,TRUE,sacco(saving and credit cooperatives),no,daily,monthly,saco,FALSE,TRUE,FALSE,FALSE,FALSE,yes,29.85486,-2.69662,firewood
12,mugombwa,5,yesother,4,60,restaurant/other,FALSE,FALSE,TRUE,FALSE,good,good,house,yes,yes,one,increased,4/19/2016,no,,aroundcamp,yes,no,financing,TRUE,FALSE,remittances,FALSE,TRUE,FALSE,FALSE,,yes,daily,frequent,saco,FALSE,TRUE,FALSE,FALSE,FALSE,yes,29.84931,-2.6758,airtime
13,mugombwa,4,yesother,3,20,clothing/other,TRUE,FALSE,FALSE,FALSE,good,good,house,yes,no,zero,increased,9/24/2016,no,,aroundcamp,yes,yes,training,FALSE,TRUE,mobilemoney,FALSE,FALSE,TRUE,FALSE,,yes,weekly,frequent,mobile,FALSE,FALSE,TRUE,FALSE,FALSE,yes,29.85121,-2.67453,firewood
14,mugombwa,1,noemploy,,1,clothing/other,TRUE,FALSE,FALSE,FALSE,good,good,house/daily,no,yes,five,increased,8/19/2015,no,,districtonly,yes,no,financing,TRUE,FALSE,other,FALSE,FALSE,FALSE,TRUE,He immediately spends all his money on other materials.,yes,weekly,frequent,nobank,FALSE,FALSE,FALSE,FALSE,TRUE,yes,29.85115,-2.67471,firewood
15,mugombwa,1,noemploy,,10,grocery,FALSE,TRUE,FALSE,FALSE,good,good,house,yes,yes,five,notapplicable,1/4/2017,no,,aroundcamp,no,no,financing,TRUE,FALSE,underbed,TRUE,FALSE,FALSE,FALSE,,yes,daily,frequent,nobank,FALSE,FALSE,FALSE,FALSE,TRUE,yes,29.85128,-2.67487,firewood
16,mugombwa,14,yesother,14,30,grocery,FALSE,TRUE,FALSE,FALSE,good,good,daily,yes,yes,five,increased,3/14/2015,yes,3,aroundcamp,yes,no,financing,TRUE,FALSE,mobilemoney,FALSE,FALSE,TRUE,FALSE,,yes,daily,frequent,mobile,FALSE,FALSE,TRUE,FALSE,FALSE,yes,29.84976,-2.67497,firewood
17,mugombwa,1,noemploy,,5,grocery/clothing,TRUE,TRUE,FALSE,FALSE,good,good,daily/house,no,no,five,increased,########,yes,10,aroundcamp,yes,no,financing,TRUE,FALSE,underbed,TRUE,FALSE,FALSE,FALSE,,no,daily,monthly,nobank,FALSE,FALSE,FALSE,FALSE,TRUE,yes,29.84966,-2.67501,firewood
